country,Code,IFs Country,,
Afghanistan,AFG,Afghanistan,,Afghanistan
Albania,ALB,Albania,,Albania
Algeria,DZA,Algeria,,Algeria
Angola,AGO,Angola,,Angola
Argentina,ARG,Argentina,,Argentina
Armenia,ARM,Armenia,,Armenia
Australia,AUS,Australia,,Australia
Austria,AUT,Austria,,Austria
Azerbaijan,AZE,Azerbaijan,,Azerbaijan
"Bahamas, The",BHS,"Bahamas, The",,Baden
Bahrain,BHR,Bahrain,,Bahrain
Bangladesh,BGD,Bangladesh,,Bangladesh
Barbados,BRB,Barbados,,Bavaria
Belarus,BLR,Belarus,,Belarus
Belgium,BEL,Belgium,,Belgium
Belize,BLZ,Belize,,Benin
Benin,BEN,Benin,,Bhutan
Bhutan,BTN,Bhutan,,Bolivia
Bolivia,BOL,Bolivia,,Bosnia
Bosnia and Herzegovina,BIH,Bosnia and Herzegovina,,Botswana
Botswana,BWA,Botswana,,Brazil
Brazil,BRA,Brazil,,Bulgaria
Brunei,BRN,Brunei,,Burkina Faso
Bulgaria,BGR,Bulgaria,,Burundi
Burkina Faso,BFA,Burkina Faso,,Cambodia
Burundi,BDI,Burundi,,Cameroon
Cambodia,KHM,Cambodia,,Canada
Cameroon,CMR,Cameroon,,Cape Verde
Canada,CAN,Canada,,Central African Republic
Cape Verde,CPV,Cape Verde,,Chad
Central African Republic,CAF,Central African Republic,,Chile
Chad,TCD,Chad,,China
Chile,CHL,Chile,,Colombia
China,CHN,China,,Comoros
Colombia,COL,Colombia,,Congo Brazzaville
Comoros,COM,Comoros,,Congo Kinshasa
"Congo, Democratic Republic of",ZAR,"Congo, Democratic Republic of",,Costa Rica
"Congo, Republic of",COG,"Congo, Republic of",,Cote D'Ivoire
Costa Rica,CRI,Costa Rica,,Croatia
Cote d'Ivoire,CIV,Cote d'Ivoire,,Cuba
Croatia,HRV,Croatia,,Cyprus
Cuba,CUB,Cuba,,Czech Republic
Cyprus,CYP,Cyprus,,Czechoslovakia
Czech Republic,CZE,Czech Republic,,Denmark
Denmark,DNK,Denmark,,Djibouti
Djibouti,DJI,Djibouti,,Dominican Republic
Dominican Republic,DOM,Dominican Republic,,East Timor
Ecuador,ECU,Ecuador,,Ecuador
Egypt,EGY,"Egypt, Arab Republic of",,Egypt
El Salvador,SLV,El Salvador,,El Salvador
Equatorial Guinea,GNQ,Equatorial Guinea,,Equatorial Guinea
Eritrea,ERI,Eritrea,,Eritrea
Estonia,EST,Estonia,,Estonia
Ethiopia,ETH,Ethiopia,,Ethiopia
Fiji,FJI,Fiji,,Fiji
Finland,FIN,Finland,,Finland
France,FRA,France,,France
Gabon,GAB,Gabon,,Gabon
Gambia,GMB,"Gambia, The",,Gambia
Georgia,GEO,Georgia,,Georgia
Germany,DEU,Germany,,Germany
Ghana,GHA,Ghana,,Germany East
Greece,GRC,Greece,,Germany West
Grenada,GRD,Grenada,,Ghana
Guatemala,GTM,Guatemala,,Gran Colombia
Guinea,GIN,Guinea,,Greece
Guinea-Bissau,GNB,Guinea-Bissau,,Guatemala
Guyana,GUY,Guyana,,Guinea
Haiti,HTI,Haiti,,Guinea-Bissau
Honduras,HND,Honduras,,Guyana
Hong Kong,HKG,Hong Kong,,Haiti
Hungary,HUN,Hungary,,Honduras
Iceland,ISL,Iceland,,Hungary
India,IND,India,,India
Indonesia,IDN,Indonesia,,Indonesia
Iran,IRN,"Iran, Islamic Republic of",,Iran
Iraq,IRQ,Iraq,,Iraq
Ireland,IRL,Ireland,,Ireland
Israel,ISR,Israel,,Israel
Italy,ITA,Italy,,Italy
Jamaica,JAM,Jamaica,,Ivory Coast
Japan,JPN,Japan,,Jamaica
Jordan,JOR,Jordan,,Japan
Kazakhstan,KAZ,Kazakhstan,,Jordan
Kenya,KEN,Kenya,,Kazakhstan
